,stars,comments
0,4,Awesome phone.. but need the screen a bit bigger..
1,5,I love this phone. Don’t miss the home button one bit.
2,5,But I really love it. I used to have a 6s plus because I like a bigger screen. This screen is just as big but the phone is not! Perfect
3,5,I bought the iPhone X for my wife and she loves it. The screen is beautiful. The camera is stunning and the facial scanner is next level!
4,5,"Love this phone it works great, it’s an iPhone :)!!"
5,5,Best iPhone yet. Love the facial recognition and long lasting battery
6,4,Love the phone and it’s upgrades however it is so fragile and difficult to find a minimalist drip proof cover to cover all of the front screen including over the raised glass (fragile) to meet where the screen saver ends. I don’t know why Apple chose to design it this way. Also as it is made of glass on front and back I would think more of the aforementioned cases would be available but they are not. I used to love Tech 21 but they don’t fit bc of the front screen design. Also it is so small I have difficulty locating it esp in my purse after using my Uphone 6SPlus and I wish they offered it in the Rose Gold color.
7,5,Amazing pictures! Love the phone
8,5,Just upgraded from the iPhone 7 to the iPhone X and I’m glad I did. Phone is great and I love the fact that it is a little different but still an iPhone. I’ve had the iPhones 4-7. I hated the home button so this is a plus for me! Also love the Face ID! No regrets here!
9,5,"Waited to get it and it was so worth it. The store in Henrietta,NY is the best"
10,5,Wonderful camera and excellent size. Truly water proof he uses his music in shower!
11,5,"This was my Christmas gift to me. Big clear screen. Great camera, amazing Apple quality."
12,4,I got my model x with 256 gb phone 3 weeks ago and I liked this phone so far in terms of performance and easiness. As normal apple did a good job with this new model. I usually don’t write the reviews but this is the first time I am writing a review after 10 years. This is my Frank assessment on iPhone model x.you will not be disappointed with this buy.
13,5,excellent wireless telephone great quality picture
14,5,Once again Apple hits it out of the park with an iPhone!
15,5,"After having various iPhone models since 2007, I was pleasantly surprised by the iPhone X. I really like that this phone does not have a home button and that it has face recognition that works well. The phone is very fast also. Overall, I really think Apple did a great job on this phone and I have no regrets over what I originally considered to be a big expense for a phone."
16,5,I live my IPhone X! I’m so glad I did this purchase! It’s sleek and smart!
17,5,"This iPhone was a gift for my daughter, who is a Freshmen in High School....& she has not put it down since Christmas.....It's a great phone & great for HULU also!!!"
18,5,"It's the latest,and greatest from Apple. My wife loves it."
19,5,"Great camera, easy to use and I would recommend this to anyone who looking for a upgrade"
20,5,I love the IPhone X. Camera is incredible and a full screen with very small border is great. No more home button that’s replaced with a quick swipe & easy to get used to.
21,5,nice phone and very fast apps. the screen is way bigger than the 7 or 8 and super fast
22,5,Bought this phone for my wife or Christmas and she loves it. Super fast and screen is amazing. Face ID feature works flawlessly too.
23,5,Upgraded my IPhone from 5S to X. Could not be happier. The 10 is great!
24,4,"I have owned almost every generation of iPhone and this has the best battery and screen resolution by far. However, I miss the thumbprint security features compared to the Face ID. Face ID will not work unless you’re looking at the screen and this is a hassle if you want to glance at your screen without actually looking directly at it. It also will not work if my eyes are closed or my face is partially covered."
25,3,Not really sure why it cost so much more than the seven or eight camera quality seems to be the same as seven and eight a bit pricey
26,5,I loved my 6plus but the X is even better. Processing is quicker.
27,4,"I wouldn't say this phone is a game changer but it's okay. It has issues with face recognition and the pulling apps from the bottom up is a bit of a pain when it doesn't work. The clarity is nice and the camera is great but overall I would just say it's the latest apple phone and give it an ""Ok"""
28,5,This phone was easy to use and the camera is unmatched.
29,5,Size is just about perfect. Love the screen and Face ID
30,5,iPhone X is great. Very happy with it. I don't notice the notch as much as other reviews say because the screen is huge. I rarely use it in landscape mode as well. Happy camper.
31,5,Thanks honey I have to do a good job and working on my house today
32,5,"Face ID works great and you won’t miss the home button after a few new gestures become second nature. Apple finally made the phone a blonde one thicker to put a battery (actually 2 batteries) in that lasts all day! The X gives you the screen size of a Plus in a form factor that fits easily in your pocket. If you are going to spend the money on a flagship phone, this should be the one you buy."
